

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
171.592  000.157  000.157: require('null-ls.builtins.formatting.black')
171.903  000.306  000.306: require('null-ls.builtins.diagnostics.write_good')
172.928  000.726  000.726: require('null-ls.client')
172.994  008.727  000.451: require('null-ls-config')
173.814  000.250  000.250: require('mkdnflow.utils')
173.844  000.781  000.531: require('mkdnflow')
176.029  000.389  000.389: require('mkdnflow.compat')
176.234  000.171  000.171: require('mkdnflow.maps')
176.237  003.241  001.900: require('mkdnflow-config')
176.500  000.228  000.228: require('local-highlight')
176.518  000.279  000.051: require('local-highlight-config')
176.520  172.265  000.086: sourcing /home/mally/.config/nvim/init.lua
176.541  001.458: sourcing vimrc file(s)
177.054  000.017  000.017: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/LuaSnip/ftdetect/snippets.vim
177.218  000.013  000.013: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/neorg/ftdetect/norg.vim
177.455  000.109  000.109: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/vim-racket/ftdetect/racket.vim
177.610  000.032  000.032: sourcing /usr/share/vim/vimfiles/ftdetect/gnfiletype.vim
177.651  000.020  000.020: sourcing /usr/share/vim/vimfiles/ftdetect/meson.vim
177.703  000.034  000.034: sourcing /usr/share/vim/vimfiles/ftdetect/task.vim
178.039  001.196  000.971: sourcing /usr/share/nvim/runtime/filetype.lua
178.103  000.037  000.037: sourcing /usr/share/nvim/runtime/filetype.vim
178.466  000.082  000.082: sourcing /usr/share/nvim/runtime/syntax/synload.vim
178.588  000.384  000.302: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
179.904  000.148  000.148: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
179.939  000.010  000.010: sourcing /usr/share/nvim/runtime/plugin/health.vim
180.465  000.158  000.158: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
180.563  000.591  000.434: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
180.714  000.130  000.130: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
181.051  000.314  000.314: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
181.370  000.012  000.012: sourcing /home/mally/.local/share/nvim/rplugin.vim
181.380  000.302  000.291: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
181.524  000.120  000.120: sourcing /usr/share/nvim/runtime/plugin/shada.vim
181.589  000.023  000.023: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
181.707  000.094  000.094: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
181.804  000.072  000.072: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
181.844  000.016  000.016: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
181.992  000.126  000.126: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
182.703  000.579  000.579: sourcing /home/mally/.config/nvim/plugin/packer_compiled.lua
183.011  000.081  000.081: sourcing /usr/share/nvim/runtime/plugin/man.lua
183.036  002.272: loading rtp plugins
185.397  000.081  000.081: require('Comment.config')
185.958  000.241  000.241: require('Comment.ft')
185.963  000.562  000.321: require('Comment.utils')
186.124  000.159  000.159: require('Comment.opfunc')
186.260  000.115  000.115: require('Comment.extra')
186.268  002.590  001.673: require('Comment.api')
186.499  002.880  000.289: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/Comment.nvim/plugin/Comment.lua
186.849  000.208  000.208: sourcing /home/mally/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
187.372  000.232  000.232: require('arshlib.tables')
